,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
p13,4.184e-04,1.667e-03,4.040e-04,2.042e-03,4.395e-04,5.849e-04,5.469e-04,1.457e-03,3.433e-03,1.407e-03,3.259e-03,3.343e-03,2.337e-03,1.543e-03,1.722e-03,5.189e-04,1.852e-03,3.077e-03,9.624e-04,9.955e-04,1.341e-03,2.300e-03,1.143e-03,8.251e-03,2.043e-03,4.187e-04,8.275e-03,5.327e-04,8.962e-04,1.938e-03,1.346e-03,3.520e-03,6.280e-04,1.185e-02,1.303e-03,8.447e-04,3.204e-03,1.127e-03,8.116e-04,3.062e-03,1.474e-03,6.741e-04,1.831e-03,1.196e-03,5.075e-04,7.240e-04,3.982e-03,1.596e-03,1.110e-03,2.374e-03
V14,9.067e+00,1.690e+00,5.174e+00,1.528e+01,1.631e+00,4.588e+00,3.644e+00,4.325e+00,1.900e+01,2.616e+00,4.071e+00,2.366e+01,4.427e+00,1.589e+01,1.742e+00,2.056e+00,4.568e+00,7.355e+00,1.987e+00,1.744e+00,5.072e+00,3.483e+00,1.565e+01,3.048e+01,7.304e+00,2.160e+00,1.160e+01,2.966e+00,5.509e+00,2.158e+00,2.277e+00,5.705e+00,2.702e+00,1.628e+00,4.281e+00,5.538e+00,7.591e+00,3.779e+00,2.838e+00,4.952e+00,8.122e+00,4.259e+00,2.671e+00,3.271e+00,6.818e+00,8.750e+00,1.453e+01,7.111e+00,5.404e+00,3.495e+00
Km14,1.826e+04,8.840e+04,1.721e+04,2.625e+04,1.777e+04,5.327e+04,2.252e+04,2.148e+04,8.640e+03,2.112e+04,3.777e+04,1.671e+05,4.215e+04,5.116e+03,5.988e+03,2.643e+04,1.307e+05,2.751e+04,2.921e+04,3.576e+04,3.104e+04,6.610e+04,3.598e+04,8.479e+03,6.007e+04,1.003e+04,8.542e+03,1.919e+04,5.278e+04,4.056e+04,5.461e+04,3.345e+04,1.950e+04,5.125e+03,2.893e+04,2.469e+04,6.395e+04,1.504e+04,3.986e+04,7.515e+04,3.083e+04,4.446e+04,8.886e+04,5.973e+04,4.559e+04,7.795e+04,3.666e+04,6.733e+04,4.105e+04,9.691e+03
V15,3.905e-01,1.391e+00,1.750e+00,2.242e+00,5.726e-01,1.955e+00,5.252e+00,3.275e+00,1.712e+01,3.333e+00,9.912e-01,2.043e+00,4.492e+00,1.435e+00,3.358e+00,2.343e+00,1.759e+01,1.235e+00,7.979e-01,1.043e+00,1.965e+00,1.065e+00,8.423e-01,8.767e-01,1.835e+00,1.182e+00,7.226e-01,1.803e+00,9.466e-01,4.937e+00,5.259e+00,3.234e+00,3.921e+00,3.516e-01,1.412e+00,3.198e-01,2.209e+00,2.862e+00,2.493e+00,1.917e+00,1.707e+00,2.275e+00,7.664e-01,7.416e-01,4.123e-01,1.957e+00,2.446e+00,1.489e+00,1.428e+00,2.686e+00
Km15,2.038e-03,9.939e-04,1.549e-03,4.505e-03,2.110e-04,1.634e-03,3.409e-04,5.999e-04,4.947e-04,8.655e-04,2.062e-03,4.082e-04,1.047e-03,2.568e-04,3.161e-03,4.701e-03,1.805e-03,3.068e-04,8.515e-04,9.070e-04,4.330e-04,2.374e-03,7.623e-04,8.570e-03,5.888e-04,1.452e-03,8.618e-04,8.554e-04,1.416e-03,4.907e-04,8.214e-04,3.233e-04,1.426e-03,3.315e-04,2.980e-03,4.213e-04,2.716e-03,9.247e-04,8.481e-04,2.029e-03,2.896e-03,7.871e-04,1.782e-03,7.514e-04,1.655e-03,5.583e-04,6.421e-04,5.811e-04,7.077e-04,7.722e-03
KimDUSP,5.304e-02,3.881e-02,2.066e-02,1.439e-02,3.354e-02,1.150e-02,2.375e-02,6.625e-03,2.954e-03,3.028e-02,2.015e-02,2.272e-02,1.895e-02,2.251e-02,8.023e-02,2.813e-02,1.174e-01,2.106e-02,1.307e-02,3.211e-02,2.938e-02,2.109e-02,6.371e-03,3.456e-02,2.063e-02,3.499e-02,5.698e-02,6.356e-03,1.816e-01,2.388e-02,3.677e-02,2.781e-02,2.718e-02,7.530e-03,2.161e-02,1.663e-02,1.073e-01,2.645e-02,3.521e-02,5.181e-02,4.429e-02,2.752e-02,9.738e-03,5.013e-02,1.562e-02,5.081e-02,1.426e-02,1.468e-02,1.093e-02,6.066e-03
KexDUSP,4.947e-02,2.298e-02,5.268e-02,1.531e-01,2.253e-01,9.784e-02,2.361e-02,1.570e-02,2.995e-01,2.464e-02,2.213e-01,8.491e-03,6.235e-02,2.331e-02,8.316e-02,1.735e-02,4.330e-02,1.617e-01,2.327e-02,3.942e-02,9.140e-02,5.614e-02,3.083e-02,2.448e-01,9.774e-02,1.109e-01,1.419e-01,2.884e-02,3.998e-02,1.451e-01,5.793e-02,8.009e-02,1.350e-01,2.560e-01,6.924e-02,7.021e-02,2.754e-02,1.139e-01,2.826e-02,1.241e-01,2.133e-02,4.257e-02,7.316e-02,2.238e-02,5.924e-02,1.805e-01,7.678e-02,5.835e-02,1.724e-02,4.691e-02
V20,1.477e-01,6.034e-02,1.432e-01,5.806e-01,1.498e-01,1.924e-01,3.874e-02,2.628e-01,9.127e-01,7.052e-02,1.981e-01,5.517e-01,3.453e-01,4.997e-01,7.755e-02,1.511e-01,5.880e-01,6.045e-01,1.419e-01,8.092e-02,2.775e-01,1.164e-01,2.499e-01,2.021e-01,9.162e-02,3.753e-01,1.235e-01,4.964e-02,7.165e-01,5.837e-01,1.854e-01,1.667e-01,1.133e-01,3.040e-02,1.920e-01,4.411e-01,8.493e-02,7.951e-02,1.136e-01,4.307e-01,1.887e-01,1.134e-01,4.395e-01,4.965e-02,7.846e-02,3.556e-02,2.682e-01,2.631e-01,6.537e-02,5.308e-02
Km20,4.821e+05,9.437e+05,7.258e+05,1.339e+06,5.624e+05,2.208e+06,4.951e+05,6.711e+05,2.542e+05,3.081e+05,1.168e+06,1.396e+06,7.574e+05,2.966e+05,2.158e+06,1.676e+06,3.211e+06,5.756e+05,2.451e+05,2.973e+06,7.121e+05,3.483e+05,1.196e+05,1.095e+05,7.254e+05,3.987e+05,3.257e+05,1.313e+06,6.727e+05,8.977e+05,5.365e+05,6.230e+05,7.245e+05,9.534e+04,4.481e+05,4.224e+05,1.755e+06,1.178e+06,4.624e+05,2.503e+05,7.161e+05,5.384e+05,1.770e+06,1.145e+05,8.576e+05,7.888e+05,2.890e+06,6.310e+05,5.494e+05,3.035e+06
V21,4.447e-03,4.439e-03,2.008e-03,2.619e-03,4.888e-03,8.526e-03,4.349e-02,1.540e-03,1.287e-02,1.591e-03,7.346e-03,3.431e-03,4.482e-03,4.574e-03,2.536e-02,7.671e-04,5.898e-03,1.603e-03,4.347e-03,5.081e-03,6.052e-03,6.963e-03,2.312e-03,2.184e-03,4.139e-03,2.159e-03,6.003e-04,1.091e-02,3.785e-03,4.963e-03,7.205e-03,2.674e-03,3.711e-02,2.128e-02,1.088e-02,6.983e-03,5.391e-03,3.183e-03,8.899e-03,1.516e-02,3.140e-03,6.329e-03,5.770e-03,4.983e-03,1.087e-02,8.409e-03,3.742e-03,4.837e-03,3.609e-03,5.855e-03
